"id_visita,estudiante,horas_estancia,fecha"
"1,Carlos Lopez,3,2026-09-01"
"2,Ana Gomez,2,2026-09-01"
"3,Carlos Lopez,4,2026-09-02"
"4,Beatriz Ruiz,1,2026-09-02"
"5,Ana Gomez,3,2026-09-03"
"6,Carlos Lopez,2,2026-09-03"
"7,David Morales,5,2026-09-03"
"8,Elena Torres,2,2026-09-04"
"9,Beatriz Ruiz,4,2026-09-04"
"10,Fernando Perez,1,2026-09-04"
"11,Ana Gomez,4,2026-09-05"
"12,Carlos Lopez,3,2026-09-05"
"13,David Morales,2,2026-09-05"
"14,Gabriela Castro,5,2026-09-06"
"15,Elena Torres,3,2026-09-06"
"16,Fernando Perez,2,2026-09-06"
"17,Hugo Mendez,4,2026-09-07"
"18,Beatriz Ruiz,3,2026-09-07"
"19,Gabriela Castro,2,2026-09-07"
"20,Carlos Lopez,5,2026-09-08"
"21,Ana Gomez,1,2026-09-08"
"22,Irene Vargas,3,2026-09-08"
"23,David Morales,4,2026-09-09"
"24,Hugo Mendez,2,2026-09-09"
"25,Elena Torres,4,2026-09-09"
"26,Fernando Perez,3,2026-09-10"
"27,Gabriela Castro,1,2026-09-10"
"28,Irene Vargas,5,2026-09-10"
"29,Carlos Lopez,2,2026-09-11"
"30,Beatriz Ruiz,4,2026-09-11"
"31,Ana Gomez,5,2026-09-11"
"32,Jorge Salgado,3,2026-09-12"
"33,David Morales,3,2026-09-12"
"34,Hugo Mendez,1,2026-09-12"
"35,Irene Vargas,2,2026-09-13"
"36,Elena Torres,5,2026-09-13"
"37,Jorge Salgado,4,2026-09-13"
"38,Fernando Perez,2,2026-09-14"
"39,Gabriela Castro,3,2026-09-14"
"40,Carlos Lopez,4,2026-09-14"
"41,Ana Gomez,2,2026-09-15"
"42,Beatriz Ruiz,5,2026-09-15"
"43,Jorge Salgado,2,2026-09-15"
"44,Hugo Mendez,3,2026-09-16"
"45,David Morales,1,2026-09-16"
"46,Irene Vargas,4,2026-09-16"
"47,Elena Torres,2,2026-09-17"
"48,Fernando Perez,4,2026-09-17"
"49,Gabriela Castro,3,2026-09-17"
"50,Jorge Salgado,5,2026-09-17"
